Company|Slogan
Gilead Sciences| Advancing therapeutics. Improving lives.
Genuine Parts| Get the good stuff.
General Dynamics| Strength on your side
Garmin Ltd.| We’ll Take You There
GameStop Corp.| Power to the Players
Franklin Resources| Gain from our perspective
FLIR Systems| The world’s sixth sense.
Fidelity National Information Services| 160 years of Experience
Federal Realty Investment Trust| We make home possible
Fastenal Co| Growth through customer service
F5 Networks| IT agility. Your way.
Expedia Inc.| Where you book matters
EQT Corporation| Where energy means innovation
Entergy Corp.| The Power of People.
Dun & Bradstreet| committed to your success.
Du Pont (E.I.)| The Miracles of Science
DaVita Inc.| Bringing quality to life
CSRA Inc.| Enduring Values. Inspired Performance.
Costco Co.| Simplifying home and life
Concho Resources| Great Place To Work
Columbia Pipeline Group Inc| Significant Scale, Unparalleled Footprint
CME Group Inc.| How The World Advances
Cintas Corporation| Ready for the Workday
Cincinnati Financial| Everything Insurance Should Be
CIGNA Corp.| A Business of Caring
Church & Dwight| The Standard of Purity
Charles Schwab Corporation| Helping investors help themselves
CBRE Group| Local Real Estate. Worldwide
Capital One Financial| What’s in your wallet?
Cabot Oil & Gas| Clean Energy, Stronger Communities
C. H. Robinson Worldwide| Get You There Faster.
BorgWarner| Feel good about driving
BIOGEN IDEC Inc.| Transforming discovery into care.
Best Buy Co. Inc.| Expert Service. Unbeatable Price.
Baxalta| Your Life, Our Inspiration
Avery Dennison Corp| Inspired Brands, Intelligent World
Avago Technologies| Your Imagination, Our innovation
AutoZone Inc| Get in the Zone
Automatic Data Processing| The Business behind business.
Assurant Inc| Assurant. On your terms.
American Electric Power| AEP, America’s Energy Partner…
Ameren Corp| Focused Energy. For Life
Allstate Corp| You’re in good hands.
Allergan plc| Our pursuit, Life’s potential
Air Products & Chemicals Inc| We are Air Products
Advance Auto Parts| We’re Ready in Advance.
Activision Blizzard| We make Great Games
Abbott Laboratories| Life. To the fullest.
3M Company| Science. Applied to life.
Yahoo Inc.| Do you Yahoo?
Xylem Inc.| Let’s Solve Water
Xcel Energy Inc| Responsible by Nature
Wynn Resorts Ltd| Wynn Las Vegas
Willis Towers Watson| Family of Companies
Visa Inc.| Go with Visa
Verizon Communications| Rule the Air
Verisign Inc.| Powered by Verisign
Valero Energy| Investing in Excellence.
United Continental Holdings| Let’s fly together
Under Armour| Protect This House
Tyson Foods| Powered by Tyson.
Tiffany & Co.| True love grows
Textron Inc.| Reaching new heights.
Texas Instruments| Technology for Innovators
Tesoro Petroleum Co.| Fueling the Future
TE Connectivity Ltd.| Every Connection Counts
T. Rowe Price Group| Invest With Confidence
Synchrony Financial| Engage With Us
Starbucks Corp.| Romancing the bean
Staples Inc.| Make More Happen
Stanley Black & Decker| Performance in Action
Spectra Energy Corp.| Energy for life
Southwestern Energy| We are Energy
Schlumberger Ltd.| Excellence in Execution
SCANA Corp| Power for Living
Salesforce.com| Success on Demand
Royal Caribbean Cruises Ltd| Get Out There
Ross Stores| Dress for Less.
Rockwell Collins| Building trust everyday
Rockwell Automation Inc.| Listen. Think. Solve.
Reynolds American Inc.| Make it easy.
Regeneron| Science to medicine.
Red Hat Inc.| We’re stronger together
Qorvo| “All Around You”
Public Storage| Real storage expert.
Prudential Financial| Bring Your Challenges
Priceline.com Inc| Name your price
PNC Financial Services| Leading the Way.
Pioneer Natural Resources| Creativity Beyond Imagination
PerkinElmer| For the Better
Parker-Hannifin| Engineering YOUR success
PACCAR Inc.| The World’s Best
O’Reilly Automotive| Professional Part People
Nucor Corp.| It’s Our Nature
NRG Energy| We generate power.
Northrop Grumman Corp.| Defining the future.
Nike| Just Do It
NextEra Energy| We Heard You
News Corp. Class B| Fair & Balanced.
News Corp. Class A| Fair & Balanced.
Newmont Mining Corp. (Hldg. Co.)| The Gold Company.
Newell Rubbermaid Co.| “Brands That Matter”
NetApp| “Go further faster”
Mylan N.V.| Seeing is believing
Monster Beverage| Fuel Your Fire
Mondelez International| Make today delicious
Molson Coors Brewing Company| The Banquet Beer.
Micron Technology| Performance. Power. Reliability
McDonald’s Corp.| I’m Lovin’ It
Mattel Inc.| The World’s Mattel
Mastercard Inc.| Heart of Commerce
Marsh & McLennan| Get there faster
Macy’s Inc.| Way to shop!
M&T Bank Corp.| Understanding what’s important
Loews Corp.| EXPERIENCED, FORWARD, THINKING
Lilly (Eli) & Co.| Innovation is personal
Legg Mason| Global Asset Management
Laboratory Corp. of America Holding| Innovation. Quality. Convenience.
Kohl’s Corp.| “Expect Great Things”
Kimco Realty| Integrity, Creativity, Stability.
Intuitive Surgical Inc.| Improving patient outcomes
Intuit Inc.| Small Business, rejoice
Intl Flavors & Fragrances| Engaging The Senses.
Intercontinental Exchange| Trade the world.
Intel Corp.| Experience What’s Inside.
Hormel Foods Corp.| Life Better Served
Helmerich & Payne| Integrity. Respect. Teamwork. Creativity.
HCP Inc.| Strategy. Execution. Results.
Hartford Financial Svc.Gp.| Always Thinking Ahead.
Halliburton Co.| Unleash the energy
General Motors| People in motion.
Freeport-McMoran Cp & Gld| Connecting the Future
Flowserve Corporation| Experience in motion.
Fiserv Inc| Source. Capture. Optimization.
Extra Space Storage| Real storage expert
Equinix| Where Opportunity Connects
Equifax Inc.| Inform. Enrich. Empower.
Emerson Electric Company| Consider it solved.
EMC Corp.| Where information lives.
Eaton Corporation| Powering Business Worldwide
Dow Chemical| Living. Improved Daily.
Dover Corp.| Taste the difference
Diamond Offshore Drilling| Hooked On Safety
Devon Energy Corp.| Commitment runs deep.
Dentsply Sirona| For better dentistry.
Delphi Automotive| Partner of Choice.
CVS Caremark Corp.| Health is everything
CSX Corp.| How tomorrow moves.
Corning Inc.| Discovering Beyond Imagination
Constellation Brands| Tastes for life
Consolidated Edison| Energy, efficiency, expertise
ConocoPhillips| Energy for tomorrow.
Comerica Inc.| Committed to Business
Comcast A Corp| Ready to work.
Colgate-Palmolive| “World of Care”
Coach Inc.| Give her Coach
CMS Energy| Count on Us.
Citrix Systems| Simplicity is power
Chipotle Mexican Grill| Food with integrity
CF Industries Holdings Inc| Where chemistry grows
Cerner| Anticipate Innovate Accelerate
Cardinal Health Inc.| Essential to care
Cameron International Corp.| Raising Performance. Together.
CA, Inc.| Agility made possible
Boston Scientific| Delivering what’s next.
Boeing Company| Forever New Frontiers
Block H&R| You got people.
Bed Bath & Beyond| Everything to Entertain
Autodesk Inc| Design your world.
AT&T Inc| Your world. Delivered.
Archer-Daniels-Midland Co| Resourceful by nature
Apache Corporation| Energy to Grow
Aon plc| Insure your vision.
Amgen Inc| To Serve Patients.
American International Group, Inc.| We know money.
American Airlines Group| Going for great.
Alphabet Inc Class C| Don’t Be Evil.
Alphabet Inc Class A| Don’t Be Evil.
AGL Resources Inc.| Providing Tomorrow’s Energy.
Accenture plc| High performance. Delivered.
AbbVie| People. Passion. Possibilities.
Xilinx Inc| All Programmable
Wyndham Worldwide| Be well.
Waste Management Inc.| Think green
Vulcan Materials| Think Safety
Union Pacific| Building America.
Twenty-First Century Fox Class B| HOME ENTERTAINMENT
Twenty-First Century Fox Class A| HOME ENTERTAINMENT
Total System Services| People-Centered Payments®
Time Warner Cable Inc.| Enjoy Better
Teradata Corp.| Raising Intelligence
Skyworks Solutions| Breakthrough Simplicity
Sherwin-Williams| Ask Sherwin-Williams
Scripps Networks Interactive Inc.| Stay Connected.
Republic Services Inc| Think Green
PG&E Corp.| Climate Smart
Pfizer Inc.| Pfizer Quality.
Pentair Ltd.| Pentair water.
Norfolk Southern Corp.| The Thoroughbred
Nordstrom| Reinvent Yourself
NASDAQ OMX Group| Trade up.
Morgan Stanley| World Wise.
McKesson Corp.| Empowering Healthcare.
Masco Corp.| Building Supplies
Lincoln National| Hello Future
Leucadia National Corp.| Clients First-Always
Lennar Corp.| Everything’s Included.
KLA-Tencor Corp.| Accelerating Yield
KeyCorp| Achieve anything.
Johnson Controls| Ingenuity Welcome.
Ingersoll-Rand PLC| Inspiring progress
Illumina Inc| New thinking.
HP Inc.| Keep reinventing.
Hewlett Packard Enterprise| Accelerating Next
Harman Int’l Industries| Expect Brilliance
Goodyear Tire & Rubber| More Driven
